tp,fp,tn,fn,precision,recall,f1_score,runtime
0,3,2,1,0.0,0.0,0.0,0.0025289058685302734
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014243125915527344
0,2,3,1,0.0,0.0,0.0,0.004004716873168945
0,3,2,1,0.0,0.0,0.0,0.0012664794921875
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017731189727783203
0,2,3,1,0.0,0.0,0.0,0.001401662826538086
0,5,0,1,0.0,0.0,0.0,0.0017628669738769531
0,3,2,1,0.0,0.0,0.0,0.002523183822631836
1,3,2,0,0.25,1.0,0.4,0.005907297134399414
1,3,2,0,0.25,1.0,0.4,0.008983135223388672
0,0,5,1,0,0.0,0.0,0.0014383792877197266
0,0,5,1,0,0.0,0.0,0.005086183547973633
1,4,1,0,0.2,1.0,0.3333333333333333,0.0025272369384765625
0,2,3,1,0.0,0.0,0.0,0.0017750263214111328
0,4,1,1,0.0,0.0,0.0,0.0014617443084716797
0,2,3,1,0.0,0.0,0.0,0.006802797317504883
1,3,2,0,0.25,1.0,0.4,0.0026116371154785156
0,2,3,1,0.0,0.0,0.0,0.0017321109771728516
0,2,3,1,0.0,0.0,0.0,0.0014796257019042969
0,3,2,1,0.0,0.0,0.0,0.001544952392578125
0,3,2,1,0.0,0.0,0.0,0.0013797283172607422
1,2,3,0,0.3333333333333333,1.0,0.5,0.0016145706176757812
0,2,3,1,0.0,0.0,0.0,0.0026366710662841797
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0038509368896484375
1,3,2,0,0.25,1.0,0.4,0.00946354866027832
0,3,2,1,0.0,0.0,0.0,0.001405477523803711
0,1,4,1,0.0,0.0,0.0,0.0016601085662841797
1,3,2,0,0.25,1.0,0.4,0.002526998519897461
1,4,1,0,0.2,1.0,0.3333333333333333,0.0014755725860595703
0,3,2,1,0.0,0.0,0.0,0.0014429092407226562
1,3,2,0,0.25,1.0,0.4,0.005073070526123047
0,2,3,1,0.0,0.0,0.0,0.0026895999908447266
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013370513916015625
0,3,2,1,0.0,0.0,0.0,0.00516963005065918
1,3,2,0,0.25,1.0,0.4,0.008073091506958008
1,4,1,0,0.2,1.0,0.3333333333333333,0.009634017944335938
0,3,2,1,0.0,0.0,0.0,0.002887248992919922
1,2,3,0,0.3333333333333333,1.0,0.5,0.0026781558990478516
1,3,2,0,0.25,1.0,0.4,0.0038111209869384766
0,1,4,1,0.0,0.0,0.0,0.0013232231140136719
1,3,2,0,0.25,1.0,0.4,0.007033348083496094
1,1,4,0,0.5,1.0,0.6666666666666666,0.0014600753784179688
0,1,4,1,0.0,0.0,0.0,0.0037734508514404297
1,3,2,0,0.25,1.0,0.4,0.00347137451171875
1,3,2,0,0.25,1.0,0.4,0.0014150142669677734
1,0,5,0,1.0,1.0,1.0,0.0038099288940429688
0,2,3,1,0.0,0.0,0.0,0.0037915706634521484
0,1,4,1,0.0,0.0,0.0,0.001453399658203125
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013737678527832031
0,3,2,1,0.0,0.0,0.0,0.0013852119445800781
0,4,1,1,0.0,0.0,0.0,0.0017044544219970703
1,2,3,0,0.3333333333333333,1.0,0.5,0.002675294876098633
1,4,1,0,0.2,1.0,0.3333333333333333,0.0013976097106933594
1,4,1,0,0.2,1.0,0.3333333333333333,0.0013802051544189453
1,2,3,0,0.3333333333333333,1.0,0.5,0.0015752315521240234
0,2,3,1,0.0,0.0,0.0,0.0016870498657226562
0,2,3,1,0.0,0.0,0.0,0.0016918182373046875
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014450550079345703
0,2,3,1,0.0,0.0,0.0,0.0014755725860595703
0,4,1,1,0.0,0.0,0.0,0.0027217864990234375
1,3,2,0,0.25,1.0,0.4,0.0014486312866210938
0,3,2,1,0.0,0.0,0.0,0.0014111995697021484
1,2,3,0,0.3333333333333333,1.0,0.5,0.001623392105102539
0,4,1,1,0.0,0.0,0.0,0.002661466598510742
0,0,5,1,0,0.0,0.0,0.006700277328491211
0,3,2,1,0.0,0.0,0.0,0.003782033920288086
0,1,4,1,0.0,0.0,0.0,0.0028731822967529297
1,2,3,0,0.3333333333333333,1.0,0.5,0.0016808509826660156
1,1,4,0,0.5,1.0,0.6666666666666666,0.002610445022583008
1,3,2,0,0.25,1.0,0.4,0.003824949264526367
0,3,2,1,0.0,0.0,0.0,0.0039844512939453125
